Szał;Frenzy;1972;Alfred Hitchcock;Kryminał,Thriller;Wielka Brytania;Jon Finch,Barry Foster
Podwójne ubezpieczenie;Double Indemnity;1944;Billy Wilder;Dramat,Kryminał,Film-Noir;USA;Fred MacMurray,Barbara Stanwyck
Akt oskarżenia;The Paradine Case;1947;Alfred Hitchcock;Romans,Dramat sądowy;USA;Gregory Peck
Wielki sen;The Big Sleep;1946;Howard Hawks;Film-Noir;USA;Humphrey Bogart,Lauren Bacall
Quo vadis;Quo vadis;1951;Mervyn LeRoy;Dramat historyczny;USA;Robert Taylor,Deborah Kerr
Podejrzenie;Suspicion;1941;Alfred Hitchcock;Film-NoirDreszczowiec;USA;Cary Grant,Joan Fontaine
Pożegnalny walc;Waterloo Bridge;1940;Mervyn LeRoy;Melodramat,Wojenny;USA;Robert Taylor,Virginia Field,Vivien Leigh
Mroczne przejście;Dark Passage;1947;Delmer Daves;Film-Noir;USA;Humphrey Bogart,Lauren Bacall
Sabrina;Sabrina;1954;Billy Wilder;Komedia romantyczna;USA;Humphrey Bogart,Audrey Hepburn,William Holden
My Fair Lady;My Fair Lady;1964;George Cukor;Melodramat,Musical;USA;Audrey Hepburn,Rex Harrison
Kto się boi Virginii Woolf?;Who's Afraid of Virginia Woolf?;1966;Mike Nichols;Dramat;USA;Elizabeth Taylor,Richard Burton
Kto sieje wiatr;Inherit the Wind;1960;Stanley Kramer;Dramat sądowy;USA;Gene Kelly,Spencer Tracy,Harry Morgan
Laura;Laura;1944;Otto Preminger,Rouben Mamoulian;Film-Noir;USA;Gene Tierney,Vincent Price,Dana Andrews
Arszenik i stare koronki;Arsenic and Old Lace;1944;Frank Capra;Czarna komedia;USA;Cary Grant
Nieznajomi z pociągu;Strangers on a Train;1951;Alfred Hitchcock;Film-Noir;USA;Farley Granger,Ruth Roman
Miejsce pod słońcem;A Place in the Sun;1951;George Stevens;Melodramat,Obyczajowy,Film-Noir;USA;Montgomery Clift,Elizabeth Taylor
Cień wątpliwości;Shadow of a Doubt;1943;Alfred Hitchcock;Dramat,Thriller,Film-Noir;USA;Teresa Wright,Joseph Cotten
Niewłaściwy człowiek;The Wrong Man;1956;Alfred Hitchcock;Dramat,Kryminał;USA;Kippy Campbell,Vera Miles,Henry Fonda
Noc myśliwego;The Night of the Hunter;1955;Charles Laughton,Terry Sanders,Robert Mitchum;Dramat,Thriller,Film-Noir;USA;Robert Mitchum
Key Largo;Key Largo;1948;John Huston;Film-Noir;USA;Humphrey Bogart,Lauren Bacall
Gasnący płomień;Gaslight;1944;George Cukor;Thriller,Psychologiczny;USA;Joseph Cotten,Charles Boyer,Ingrid Bergman
Rebeka;Rebecca;1940;Alfred Hitchcock;Melodramat,Thriller;USA;Laurence Olivier,Joan Fontaine
39 kroków;The 39 steps;1935;Alfred Hitchcock;Dramat,Thriller;Wielka Brytania;Robert Donat,Madeleine Carroll
Wszystko o Ewie;All about Eve;1950;Joseph L. Mankiewicz;Dramat;USA;Bette Davis,Anne Baxter,Marilyn Monroe
Ich noce;It happened one night;1934;Frank Capra;Komedia,Romans;USA;Clark Gable,Claudette Colbert
Pan z milionami;Mr Deeds goes to Town;1936;Frank Capra;Komedia,Romans;USA;Gary Cooper,Jean Arthur
Szanghaj Ekspres;Shanghai Express;1932;Josef von Sternberg;Dramat,Przygodowy,Wojenny,Romans;USA;Marlene Dietrich,Clive Brook
Ludzie w hotelu;Grand Hotel;1932;Edmund Goulding;Melodramat;USA;Greta Garbo,Joan Crawford,Lionel Barrymore
Pasteur;The story of Louis Pasteur;1936;William Dieterle;Dramat;USA;Paul Muni
Na nabrzeżach;On the Waterfront;1954;Elia Kazan;Dramat;USA;Marlon Brando,Eva Marie Saint,Karl Malden
Tajny agent;Sabotage;1936;Alfred Hitchcock;Dramat,Thriller,Szpiegowski;Wielka Brytania;John Loder,Sylvia Sidney
Dodsworth;Dodsworth;1936;William Wyler;Melodramat;USA;Walter Huston,Mary Astor
W samo południe;High noon;1952;Fred Zinnemann;Western;USA;Gary Cooper,Grace Kelly,Lloyd Bridges
